start_node,end_node,distance,route_id,route_short_name
stop466,stop1827,136.177406,route2442,walking
stop466,stop467,13.19337313,route2439,walking
stop467,stop1436,392.0375794,route2444,walking
stop467,stop1827,123.0362369,route2445,walking
stop467,stop466,13.19337313,route2443,walking
stop468,stop2172,356.2993128,route2449,walking
stop468,stop2173,352.881023,route2450,walking
stop468,stop2520,385.9456571,route2451,walking
stop468,stop439,170.5595589,route2446,walking
stop468,stop440,170.5071683,route2447,walking
stop468,stop469,14.93584381,route2448,walking
stop469,stop2172,351.1058554,route2455,walking
stop469,stop2173,348.3064251,route2456,walking
stop469,stop439,176.1618649,route2452,walking
stop469,stop440,174.8683537,route2453,walking
stop469,stop468,14.93584381,route2454,walking
stop47,stop46,159.5767784,route1027,walking
stop47,stop48,155.188656,route1028,walking
stop470,stop471,50.51659913,route2457,walking
stop471,stop470,50.51659913,route2458,walking
stop472,stop2214,264.8931621,route2459,walking
stop472,stop2215,270.2418603,route2460,walking
stop473,stop474,14.37709491,route2461,walking
stop474,stop473,14.37709491,route2462,walking
stop475,stop1366,367.6735467,route2464,walking
stop475,stop1729,33.94606373,route2465,walking
stop475,stop1730,42.07668726,route2466,walking
stop475,stop685,70.93472137,route2463,walking
stop476,stop477,14.55856502,route2467,walking
stop477,stop476,14.55856502,route2468,walking
stop478,stop2257,351.8886632,route2470,walking
stop478,stop2258,352.4466041,route2471,walking
stop478,stop479,19.68302578,route2469,walking
stop479,stop2257,337.865482,route2473,walking
stop479,stop2258,339.1494891,route2474,walking
stop479,stop478,19.68302578,route2472,walking
stop48,stop46,28.84321131,route1029,walking
stop48,stop47,155.188656,route1030,walking
stop480,stop481,30.77898054,route2475,walking
stop481,stop480,30.77898054,route2476,walking
stop482,stop197,367.5562489,route2477,walking
stop482,stop198,314.8761219,route2478,walking
stop482,stop199,334.977791,route2479,walking
stop482,stop200,289.9607858,route2480,walking
stop482,stop201,347.3783157,route2481,walking
stop482,stop202,335.5793078,route2482,walking
stop482,stop211,355.0341614,route2483,walking
stop482,stop212,329.9604727,route2484,walking
stop482,stop2282,112.1255092,route2485,walking
stop482,stop2283,153.8957876,route2486,walking
stop482,stop2284,367.8091022,route2487,walking
